rater,edu_group,pc1_var_explained,effective_dependence,n_bootstraps,n_vars
openai_gpt-5-mini,overall,0.520819710728272,0.936904773577453,500,60
openai_gpt-5-mini,loedu,0.48700390924048,0.948178222772313,500,59
openai_gpt-5-mini,hiedu,0.542953707027047,0.943940301342437,500,59
openai_gpt-oss-120b,overall,0.407806142149487,0.687453674611654,500,61
openai_gpt-oss-120b,loedu,0.366253327716046,0.77663036665335,500,60
openai_gpt-oss-120b,hiedu,0.429651233542316,0.761118229661894,500,60
qwen_qwen-2.5-72b-instruct,overall,0.441427048033306,0.92891473831712,500,60
qwen_qwen-2.5-72b-instruct,loedu,0.398369164220684,0.943627378052851,500,59
qwen_qwen-2.5-72b-instruct,hiedu,0.462280899972426,0.938501558900088,500,59
qwen_qwen3-235b-a22b-2507,overall,0.463445429945995,0.932939436935875,500,58
qwen_qwen3-235b-a22b-2507,loedu,0.417484578230051,0.944786781837842,500,57
qwen_qwen3-235b-a22b-2507,hiedu,0.487088912465464,0.942545802862337,500,57
x-ai_grok-4-fast,overall,0.526112847676959,0.944792620843908,500,60
x-ai_grok-4-fast,loedu,0.500453971690803,0.954343590890982,500,59
x-ai_grok-4-fast,hiedu,0.542977372748225,0.950809228185839,500,59
z-ai_glm-4.6,overall,0.40896366230733,0.883191522463229,500,61
z-ai_glm-4.6,loedu,0.376099049664312,0.915604411249992,500,60
z-ai_glm-4.6,hiedu,0.415833211313458,0.905728788089285,500,60
